model,effort,task_id,trial,provider,gold_answer,extracted_answer,correct,answer_in_boxed,thinking_tokens,answer_tokens,total_completion_tokens,over_cap,at_cap,censored_correct,trace_chars,backtrack_markers,recall_opener,error
glm_4_5,enabled,aime_2026_i_13,0,Z.AI,039,39,1,1,15107,1000,16107,0,0,1,39207,50,0,
glm_4_5,enabled,aime_2026_i_13,1,Z.AI,039,39,1,1,17782,486,18268,0,0,1,47889,58,0,
glm_4_5,enabled,aime_2026_i_13,2,Z.AI,039,39,1,1,16389,190,16579,0,0,1,40709,72,0,
glm_4_5,enabled,aime_2026_i_13,3,Z.AI,039,39,1,1,31044,42,31086,0,0,1,77211,111,0,
glm_4_5,enabled,aime_2026_i_13,4,Z.AI,039,39,1,1,32331,43,32374,0,0,1,80148,90,0,
glm_4_5,enabled,aime_2026_i_13,5,Z.AI,039,39,1,1,21897,426,22323,0,0,1,56698,72,0,
glm_4_5,enabled,aime_2026_i_13,6,Z.AI,039,39,1,1,12325,500,12825,0,0,1,33890,52,0,
glm_4_5,enabled,aime_2026_i_13,7,Z.AI,039,39,1,1,13665,1467,15132,0,0,1,34719,48,0,
glm_4_5,enabled,aime_2026_i_13,8,Z.AI,039,58,0,1,10950,1154,12104,0,0,0,28125,37,0,
glm_4_5,enabled,aime_2026_i_13,9,Z.AI,039,39,1,1,21600,1411,23011,0,0,1,54026,67,0,
glm_4_5,enabled,aime_2026_i_13,10,Z.AI,039,39,1,1,16570,43,16613,0,0,1,43035,57,0,
glm_4_5,enabled,aime_2026_i_13,11,Z.AI,039,39,1,1,18277,754,19031,0,0,1,47597,63,0,
glm_4_5,enabled,aime_2026_i_13,12,Z.AI,039,58,0,1,15251,755,16006,0,0,0,39283,49,0,
glm_4_5,enabled,aime_2026_i_13,13,Z.AI,039,39,1,1,30271,45,30316,0,0,1,76479,99,0,
glm_4_5,enabled,aime_2026_i_13,14,Z.AI,039,39,1,1,24788,417,25205,0,0,1,64767,70,0,
glm_4_5,enabled,aime_2026_i_13,15,Z.AI,039,39,1,1,17268,40,17308,0,0,1,42924,50,0,
glm_4_5,enabled,aime_2026_i_13,16,Z.AI,039,39,1,1,16754,859,17613,0,0,1,44975,75,0,
glm_4_5,enabled,aime_2026_i_13,17,Z.AI,039,39,1,1,19243,590,19833,0,0,1,47167,73,0,
glm_4_5,enabled,aime_2026_i_13,18,Z.AI,039,39,1,1,15847,43,15890,0,0,1,38875,54,0,
glm_4_5,enabled,aime_2026_i_13,19,Z.AI,039,39,1,1,13448,961,14409,0,0,1,35342,47,0,
glm_4_5,enabled,aime_2026_i_13,20,Z.AI,039,39,1,1,21182,170,21352,0,0,1,54042,82,0,
glm_4_5,enabled,aime_2026_i_13,21,Z.AI,039,39,1,1,15033,1675,16708,0,0,1,37909,48,0,
glm_4_5,enabled,aime_2026_i_13,22,Z.AI,039,39,1,1,16455,592,17047,0,0,1,41763,48,0,
glm_4_5,enabled,aime_2026_i_13,23,Z.AI,039,39,1,1,15526,1065,16591,0,0,1,40016,54,0,
glm_4_5,enabled,aime_2026_i_13,24,Z.AI,039,39,1,1,20559,1034,21593,0,0,1,53988,57,0,
glm_4_5,enabled,aime_2026_i_13,25,Z.AI,039,39,1,1,16357,744,17101,0,0,1,42329,58,0,
glm_4_5,enabled,aime_2026_i_13,26,Z.AI,039,39,1,1,13777,43,13820,0,0,1,35524,57,0,
glm_4_5,enabled,aime_2026_i_13,27,Z.AI,039,39,1,1,21973,517,22490,0,0,1,54702,64,0,
glm_4_5,enabled,aime_2026_i_13,28,Z.AI,039,39,1,1,20604,1064,21668,0,0,1,52667,56,0,
glm_4_5,enabled,aime_2026_i_13,29,Z.AI,039,39,1,1,23135,1010,24145,0,0,1,60124,101,0,
glm_4_5,enabled,aime_2026_i_13,30,Z.AI,039,39,1,1,16035,985,17020,0,0,1,41177,54,0,
glm_4_5,enabled,aime_2026_i_13,31,Z.AI,039,39,1,1,16036,43,16079,0,0,1,42558,70,0,
