sending 1 calls: prompt v5, judge google/gemini-2.5-pro
  12  ok  out_tok=7489 finish=stop

=== prompt v5  judge google/gemini-2.5-pro ===
tr  model         gold firm | cnt lst ver  TP dup | share: judge  gold
01  gpt-oss-120b     7    4 |  14  14  13   7   5 |         62%   78%  
02  gpt-oss-20b      4    2 |   5   5   5   1   1 |         14%   23%  
03  gpt-oss-120b     4    3 |   5   5   5   2   1 |         72%   29%  
04  gpt-oss-120b     4    3 |   3   3   3   3   0 |         13%   38%  
05  GLM 5.3          5    2 |  12  12  11   4   3 |          8%   26%  
06  GLM 5.3          0    0 |   6   6   6   0   0 |         15%    0%  
07  gpt-oss-20b      3    3 |   4   4   4   3   0 |         23%   22%  
08  GLM 5.2          4    3 |   4   4   2   2   0 |         19%   19%  
09  gpt-oss-20b      5    4 |   4   4   4   3   0 |         89%   19%  
10  gpt-oss-20b      7    5 |   3   3   2   2   0 |         45%   39%  
11  GLM 5.2          6    3 |   7   7   7   4   2 |         20%   22%  
12  GLM 5.2          3    1 |   6   6   6   2   0 |         10%    7%  
13  GLM 5.3          0    0 |   1   1   1   0   0 |         22%    0%  
14  gpt-oss-120b     0    0 |   2   2   2   0   0 |         11%    0%  
15  GLM 5.2          0    0 |   2   2   2   0   0 |         10%    0%  
16  GLM 5.2          4    1 |   8   8   7   3   3 |          5%    7%  
17  gpt-oss-20b      0    0 |   1   1   1   0   0 |          4%    0%  
18  GLM 5.3          1    1 |   4   4   2   1   0 |         13%   42%  
19  GLM 5.3          6    4 |  10  10   7   4   1 |         44%   48%  
20  gpt-oss-120b     7    6 |  10  10  10   7   2 |         64%   48%  
