trace,entry,approach,lines,tier,found_by,RA_verdict,RA_note
01,K1,guessed relation AP*AM = AB*AC,3-3,borderline,both,,
01,K2,circle ABH passes through antipode of C / has a diameter,7-7,borderline,both,,
01,K3,quadrilateral ABHC cyclic / angle BAH = C property,9-9;47-53,borderline/firm,both,,
01,K4,law-of-sines formula AP = AB sin(B/2)/sin(A/2),11-11,borderline/firm,both,,
01,K5,"coordinates with bisector as x-axis, solve for b, c, alpha from AP=4, AQ=5, BC=7",13-17;145-454,firm,both,,
01,K6,closed-form formula for AM (distance to arc midpoint) via triangle AOM / law of sines,19-33;470-478;484-504,firm,both,,
01,K7,"power of a point along the bisector (A, P, H)",35-39;91-93;109-109,borderline/firm,both,,
01,K8,"reflection symmetry across the A-bisector (circles ABH, ACH swapped; H fixed)",41-41;55-83,firm,both,,
01,K9,test whether ABHC is cyclic,47-53,borderline,annotator 2,,
01,K10,"harmonic division / cross-ratio (A,P;Q,M)",87-87;107-107;135-139,firm,both,,
01,K11,inscribed angles / law of sines in cyclic ABPH,95-103;115-133,firm,both,,
01,K12,inscribed-angle relations in circle ABH (angle AXH = angle ABH),95-103,borderline,annotator 2,,
01,K13,inversion at A,111-111,borderline,both,,
01,K14,guessed answer AM = 9 (= AP + AQ),113-113;464-464,borderline,both,,
01,K15,law of sines in triangle ABP / cyclic ABPH angles,115-133,firm,annotator 2,,
01,K16,"lemma: P, Q are projections of H onto the sides",141-141,borderline,both,,
01,K17,barycentric formula H = (tan A : tan B : tan C),147-147,borderline,annotator 1,,
01,K18,"integer-side guess b=5, c=6",399-452,firm,annotator 1,,
01,K19,"guessed closed forms for AP (2R cos B, 2bc cos B sin(A/2)/(b+c))",458-462,borderline,both,,
01,K20,relation 1/AP + 1/AQ = 1/AM,466-466,firm,both,,
01,K21,relation AM = (AP*AQ + BC)/?,468-468,borderline,both,,
01,K22,formula AM = 2R cos(A/2),480-482,firm,annotator 1,,
