file,behaviour,model,task,judge_count,marker_count,RA_judge_genuine,RA_marker_genuine,RA_missed,RA_total
01_verification_gpt-oss-120b_aime_2026_i_02_s3,verification,gpt-oss-120b,aime_2026_i_02,23,6,,,,
02_verification_gpt-oss-20b_aime_2026_i_12_s7,verification,gpt-oss-20b,aime_2026_i_12,26,12,,,,
03_verification_gpt-oss-120b_aime_2026_ii_12_s2,verification,gpt-oss-120b,aime_2026_ii_12,2,26,,,,
04_verification_gpt-oss-120b_hmmt_2026_feb_comb_08_s6,verification,gpt-oss-120b,hmmt_2026_feb_comb_08,5,36,,,,
05_verification_GLM5_3_hmmt_2026_feb_geo_09_s4,verification,GLM 5.3,hmmt_2026_feb_geo_09,7,113,,,,
06_verification_GLM5_3_aime_2026_ii_14_s7,verification,GLM 5.3,aime_2026_ii_14,8,109,,,,
07_verification_gpt-oss-20b_hmmt_2026_feb_geo_07_s7,verification,gpt-oss-20b,hmmt_2026_feb_geo_07,30,17,,,,
08_verification_GLM5_2_aime_2026_ii_09_s4,verification,GLM 5.2,aime_2026_ii_09,37,19,,,,
09_verification_gpt-oss-20b_hmmt_2026_feb_comb_05_s1,verification,gpt-oss-20b,hmmt_2026_feb_comb_05,24,159,,,,
10_verification_gpt-oss-20b_aime_2026_i_10_s4,verification,gpt-oss-20b,aime_2026_i_10,16,108,,,,
11_verification_GLM5_2_aime_2026_ii_04_s4,verification,GLM 5.2,aime_2026_ii_04,28,8,,,,
12_verification_GLM5_2_aime_2026_ii_03_s4,verification,GLM 5.2,aime_2026_ii_03,12,132,,,,
13_verification_GLM5_3_aime_2026_ii_08_s5,verification,GLM 5.3,aime_2026_ii_08,2,5,,,,
14_verification_gpt-oss-120b_aime_2026_i_13_s6,verification,gpt-oss-120b,aime_2026_i_13,10,11,,,,
15_verification_GLM5_2_hmmt_2026_feb_geo_10_s6,verification,GLM 5.2,hmmt_2026_feb_geo_10,6,19,,,,
16_verification_GLM5_2_hmmt_2026_feb_geo_09_s4,verification,GLM 5.2,hmmt_2026_feb_geo_09,20,108,,,,
17_verification_gpt-oss-20b_aime_2026_ii_04_s3,verification,gpt-oss-20b,aime_2026_ii_04,6,11,,,,
18_verification_GLM5_3_hmmt_2026_feb_geo_10_s1,verification,GLM 5.3,hmmt_2026_feb_geo_10,19,13,,,,
19_verification_GLM5_3_aime_2026_ii_10_s0,verification,GLM 5.3,aime_2026_ii_10,10,3,,,,
20_verification_gpt-oss-120b_hmmt_2026_feb_geo_06_s4,verification,gpt-oss-120b,hmmt_2026_feb_geo_06,25,15,,,,
