sending 17 calls: prompt v5, judge google/gemini-2.5-flash
  04  ok  out_tok=362 finish=stop
  05  ok  out_tok=1374 finish=stop
  06  ok  out_tok=160 finish=stop
  07  ok  out_tok=99 finish=stop
  08  ok  out_tok=776 finish=stop
  09  ok  out_tok=2467 finish=stop
  10  ok  out_tok=16000 finish=length
  11  ok  out_tok=892 finish=stop
  12  ok  out_tok=1147 finish=stop
  13  ok  out_tok=119 finish=stop
  14  ok  out_tok=91 finish=stop
  15  ok  out_tok=204 finish=stop
  16  ok  out_tok=716 finish=stop
  17  ok  out_tok=276 finish=stop
  18  ok  out_tok=558 finish=stop
  19  ok  out_tok=860 finish=stop
  20  ok  out_tok=586 finish=stop

=== prompt v5  judge google/gemini-2.5-flash ===
tr  model         gold firm | cnt lst ver  TP dup | share: judge  gold
01  gpt-oss-120b     7    4 |  17  17  16   4   5 |         52%   78%  
02  gpt-oss-20b      4    2 |   2   2   1   1   0 |          2%   23%  
03  gpt-oss-120b     4    3 |   7   7   6   3   1 |         20%   29%  
04  gpt-oss-120b     4    3 |   4   4   4   2   1 |         22%   38%  
05  GLM 5.3          5    2 |  11  11   0   0   0 |          0%   26%  
06  GLM 5.3          0    0 |   2   2   2   0   0 |          3%    0%  
07  gpt-oss-20b      3    3 |   1   1   1   1   0 |         35%   22%  
08  GLM 5.2          4    3 |   9   9   9   2   1 |         33%   19%  
09  gpt-oss-20b      5    4 |  20  21   0   0   0 |          0%   19%  
10  gpt-oss-20b      7    5 |   - 108 105   6  22 |         62%   39%  TRUNCATED
11  GLM 5.2          6    3 |   9   9   9   4   3 |         29%   22%  
12  GLM 5.2          3    1 |  10  10  10   1   0 |          7%    7%  
13  GLM 5.3          0    0 |   1   1   1   0   0 |         72%    0%  
14  gpt-oss-120b     0    0 |   1   1   1   0   0 |          2%    0%  
15  GLM 5.2          0    0 |   2   2   2   0   0 |         15%    0%  
16  GLM 5.2          4    1 |   6   6   6   2   2 |          7%    7%  
17  gpt-oss-20b      0    0 |   1   1   0   0   0 |          0%    0%  
18  GLM 5.3          1    1 |   5   5   0   0   0 |          0%   42%  
19  GLM 5.3          6    4 |   7   7   0   0   0 |          0%   48%  
20  gpt-oss-120b     7    6 |   7   7   7   6   1 |         43%   48%  
